Symbol;Date; Open ; High ; Low ;Close 
TSLA;2019-02-28;864.91;894.17;822.59;936.49
DC.WT;2019-02-28;781.03;828.93;776.34;833.62
DC.WT;2019-02-28;36;62.53;6.94;91.59
ROG;2019-02-28;54.51;60.32;6.02;108.81
BELL;2019-03-01;956.16;957.01;942.4;970.77
TSLA;2019-02-28;390.3;424.51;372.55;442.26
ROG;2019-02-28;642.41;667.64;601.05;709
MSFT;2019-02-28;531.96;578.67;513.09;597.54
RBC;2019-03-02;97.89;108.8;77.08;129.61
ROG;2019-02-28;146.07;191.73;99.27;238.53
DC.WT;2019-02-28;943.32;971.18;926.34;988.16
MSFT;2019-03-01;600.16;648.64;592.24;656.56
BELL;2019-03-02;906.97;908.23;875.29;939.91
TSLA;2019-02-28;693.09;721.84;668.66;746.27
L.PR.B;2019-02-28;417.3;459.33;396.97;479.66
ROG;2019-03-03;997.55;1025.34;987.68;1035.21
GOOG;2019-03-02;485.51;535.12;464.53;556.09
LYD;2019-03-04;957.74;961.82;929.54;990.02
ARG;2019-03-03;199.04;234.16;181.9;251.3
RBC;2019-02-28;169.89;194.89;127.87;236.91
L.PR.B;2019-03-03;622.76;623.03;582.39;663.4
RBC;2019-03-03;126.03;163.04;98.02;191.04
ROG;2019-03-02;581.14;610.24;579.03;612.35
TSLA;2019-03-03;745;793.22;725.86;812.36
ARG;2019-03-03;420.93;459.7;383.25;497.38
BELL;2019-02-28;231.21;244.13;227.47;247.86
TSLA;2019-03-01;451.71;492.84;438.6;505.96
BELL;2019-03-04;620.54;628.3;591.06;657.78
RBC;2019-03-02;122.45;151.72;113.03;161.14
DC.WT;2019-03-03;139.59;166.47;97.29;208.77
L.PR.B;2019-03-01;113.69;127.24;80.07;160.86
LYD;2019-03-04;500.51;535.32;466;569.83
TSLA;2019-03-01;681.25;686.44;639.14;728.56
L.PR.B;2019-03-03;174.61;176.29;166.87;184.03
ROG;2019-03-04;669.94;682.92;649.98;702.87
DC.WT;2019-02-28;50.48;84.4;26.85;108.03
ROG;2019-03-03;688.63;691.89;640.78;739.74
ROG;2019-03-01;489.57;525.52;440.03;575.06
TSLA;2019-03-02;234.18;243.51;223.99;253.7
L.PR.B;2019-03-04;830.01;850.42;829.3;851.13
BELL;2019-03-02;575.47;579.75;533.55;621.68
GOOG;2019-03-04;305.27;338.91;257.28;386.91
BELL;2019-03-03;638.44;662.29;606.46;694.27
RBC;2019-02-28;759.18;774.2;739.86;793.53
BELL;2019-03-01;851.76;884.47;819.73;916.5
LYD;2019-03-04;885.1;913.33;854.15;944.27
GOOG;2019-02-28;906.89;920.7;896.07;931.52
LYD;2019-03-01;440.3;482.37;396.98;525.69
RBC;2019-03-04;542.43;579.44;522.37;599.49
ROG;2019-03-04;770.54;796.61;756.58;810.57
BELL;2019-03-02;271.09;271.89;268.68;274.3
ARG;2019-03-02;463.24;506.72;434.48;535.48
ARG;2019-03-04;551.52;562.19;511.35;602.37
DC.WT;2019-03-01;386.43;423.38;364.7;445.11
RBC;2019-03-01;8.45;46.01;-14.38;68.83
ARG;2019-03-01;511.65;522.88;500.95;533.58
RBC;2019-02-28;448.18;482.64;419.53;511.28
MSFT;2019-03-03;239.71;258.62;192.14;306.2
ROG;2019-03-02;885.51;911.09;853.78;942.82
LYD;2019-03-01;996.71;1014.39;984.97;1026.13
ARG;2019-03-04;514.62;563.95;469.48;609.09
BELL;2019-03-01;733.14;768.16;722.52;778.78
BELL;2019-03-01;677.85;699.12;670.74;706.23
L.PR.B;2019-02-28;237.21;262.76;202.91;297.06
GOOG;2019-03-01;254.49;267.57;252.99;269.07
GOOG;2019-02-28;319.87;321.58;315.38;326.07
TSLA;2019-02-28;750.21;783.77;745.33;788.66
TSLA;2019-03-02;533.78;538.26;521.51;550.53
L.PR.B;2019-03-01;730.2;753.81;727.99;756.02
DC.WT;2019-03-03;628.84;651.57;595.05;685.36
LYD;2019-03-04;673.22;719.29;645.36;747.15
GOOG;2019-03-02;932.19;973.95;910.14;996
ROG;2019-03-04;960.29;987.48;956.82;990.95
MSFT;2019-03-02;802.53;834.22;753.45;883.29
ARG;2019-03-02;350.4;379.54;326.49;403.46
ROG;2019-02-28;882.36;920.9;874.32;928.94
ROG;2019-02-28;213.51;228.09;183;258.6
LYD;2019-03-03;398.99;422.82;392.56;429.26
ROG;2019-03-02;933.09;952.79;888.67;997.2
DC.WT;2019-03-01;239.08;268.61;209.57;298.12
LYD;2019-03-03;352.14;361.76;306.44;407.46
ROG;2019-03-01;362.31;370.5;347.79;385.02
ROG;2019-03-01;660.2;678.72;651.18;687.74
MSFT;2019-03-03;260.4;291.41;213.48;338.33
ARG;2019-02-28;590.62;609.27;567.73;632.15
GOOG;2019-03-03;775.34;796.56;774.7;797.2
LYD;2019-03-02;289.67;293.54;272.22;310.99
TSLA;2019-03-01;971.56;1011.03;968.92;1013.67
LYD;2019-03-03;832.87;880.89;820.82;892.94
ARG;2019-03-03;610.15;622.16;567.65;664.66
MSFT;2019-02-28;800.56;841.79;789.02;853.33
L.PR.B;2019-03-03;717.05;734.07;692.73;758.39
TSLA;2019-03-02;592.05;602.78;560.11;634.73
DC.WT;2019-02-28;3.29;30.08;-9.47;42.85
BELL;2019-03-02;288.24;310.49;239.04;359.68
LYD;2019-03-03;717.44;721.87;688.22;751.09
L.PR.B;2019-03-03;150.62;196.01;127.44;219.19
ROG;2019-03-01;727.5;734.73;680.33;781.89
L.PR.B;2019-03-02;979.13;999.93;968.52;1010.54
ARG;2019-03-01;412.94;459.27;368.42;503.79
GOOG;2019-03-01;696.1;722.06;690.52;727.65
MSFT;2019-03-02;187.21;224.42;139.9;271.74
TSLA;2019-03-03;872.17;895.91;830.35;937.72
MSFT;2019-03-02;570.15;606.43;527.7;648.88
BELL;2019-03-03;379.47;425.68;358.49;446.66
RBC;2019-03-04;586.31;609.61;543.87;652.05
L.PR.B;2019-03-04;544.91;564.46;507.79;601.58
L.PR.B;2019-03-01;660.65;676.78;631.18;706.25
MSFT;2019-03-03;581.36;618.26;561.56;638.07
L.PR.B;2019-03-02;452.87;456.59;440.75;468.7
L.PR.B;2019-03-03;533.69;579.71;504.53;608.86
TSLA;2019-03-03;920.27;965.37;914.66;970.97
MSFT;2019-03-01;234.26;242.02;195.35;280.93
BELL;2019-03-03;257.61;277.88;219.16;316.32
DC.WT;2019-02-28;21.64;44.54;21.59;44.58
L.PR.B;2019-03-03;508.58;514.44;471.84;551.18
MSFT;2019-03-01;349.6;357.43;310.97;396.06
DC.WT;2019-03-03;431.16;445.98;407.32;469.81
DC.WT;2019-03-04;305.66;337.55;264.01;379.2
TSLA;2019-03-02;475.87;517.75;444.33;549.29
RBC;2019-03-02;76.3;87.18;34.26;129.22
DC.WT;2019-02-28;811.52;827.07;794.45;844.14
DC.WT;2019-03-04;735.89;784.11;689.76;830.24
MSFT;2019-02-28;479.56;504.07;467.19;516.45
L.PR.B;2019-03-03;767.17;785.06;739.92;812.31
RBC;2019-03-04;180.19;188.41;136.44;232.15
MSFT;2019-03-04;322.91;363.88;311.61;375.17
DC.WT;2019-03-01;999.45;1016.04;976.69;1038.8
MSFT;2019-03-02;652.76;691.97;615.96;728.77
GOOG;2019-03-02;450.86;480.69;429.34;502.22
MSFT;2019-03-03;334.65;372.83;322.67;384.81
GOOG;2019-03-01;855.75;860.66;820.32;896.09
L.PR.B;2019-03-04;594.28;629.78;572.34;651.72
MSFT;2019-03-02;737.7;764.2;716.59;785.31
MSFT;2019-03-03;859.9;894.67;811.51;943.05
DC.WT;2019-03-02;578.22;625.57;566.66;637.13
DC.WT;2019-02-28;265.97;273.97;239.34;300.6
DC.WT;2019-03-03;92.36;115.67;63.15;144.88
MSFT;2019-03-03;103.97;108.55;94.5;118.03
TSLA;2019-03-03;898.5;917.26;866.65;949.11
ARG;2019-02-28;25.34;59.47;1.09;83.72
TSLA;2019-03-03;317.88;325.61;314.73;328.76
ROG;2019-03-04;484.8;495.11;440.21;539.7
DC.WT;2019-02-28;469.7;476.77;429.05;517.42
ROG;2019-03-01;5.06;29.65;-14.21;48.93
RBC;2019-03-04;851.39;857.86;842.38;866.87
L.PR.B;2019-03-01;407.02;440.27;363.06;484.23
ROG;2019-03-04;711.53;740.43;698.65;753.31
DC.WT;2019-03-02;626.22;645.23;578.4;693.05
GOOG;2019-03-02;85.38;122.42;74.15;133.64
ARG;2019-02-28;175.67;215.74;174.09;217.31
TSLA;2019-03-02;504.27;514.44;485.08;533.63
MSFT;2019-03-04;110.88;113.48;105.32;119.05
MSFT;2019-03-01;310.03;326.94;284.4;352.57
BELL;2019-03-03;52.85;94.85;22.1;125.61
TSLA;2019-03-02;808.89;837.95;786.75;860.1
L.PR.B;2019-03-03;387.57;406.76;376.09;418.24
MSFT;2019-03-02;861.12;879.35;859.64;880.83
DC.WT;2019-03-03;829.36;835.16;812.38;852.13
MSFT;2019-03-02;746.79;791.65;722.6;815.83
LYD;2019-03-01;410.42;438.25;380.1;468.57
ROG;2019-03-03;28.04;55.09;-16.17;99.3
L.PR.B;2019-03-04;904.01;913.44;865.92;951.54
ARG;2019-03-02;582.81;601.73;542.38;642.16
GOOG;2019-03-02;8.41;45.04;-29.52;82.97
DC.WT;2019-03-02;810.73;860.61;768.4;902.95
DC.WT;2019-03-04;715.11;729.45;700.78;743.78
BELL;2019-03-03;179.14;183.3;163.08;199.36
TSLA;2019-03-01;184.16;232.79;135.45;281.5
MSFT;2019-03-02;616.62;657.41;571.25;702.79
TSLA;2019-03-03;293.54;308.86;255.63;346.76
ROG;2019-03-03;559.2;609.04;553.64;614.6
LYD;2019-03-03;148.85;151.27;142.98;157.14
BELL;2019-03-02;377.75;409.72;369.64;417.83
MSFT;2019-03-03;391.12;417.4;375.9;432.62
RBC;2019-02-28;325.82;359.08;314.55;370.35
L.PR.B;2019-03-04;21.76;46.7;4.1;64.37
ROG;2019-03-04;528.26;573.22;524.93;576.55
MSFT;2019-03-02;223.43;258.59;209.74;272.28
ROG;2019-03-02;514.02;552.4;490.55;575.87
TSLA;2019-03-03;261.14;275.83;225.85;311.12
RBC;2019-03-04;764.91;807.41;759.52;812.79
MSFT;2019-03-01;178.51;195.72;144.03;230.2
MSFT;2019-02-28;295.88;301.31;280.04;317.14
MSFT;2019-03-02;273.92;296.81;239.47;331.27
MSFT;2019-03-04;530.99;549.22;528.66;551.56
MSFT;2019-03-03;884.03;921.12;882.16;922.99
DC.WT;2019-03-03;164.88;179.67;133.04;211.51
ROG;2019-02-28;246.44;270.75;245.14;272.05
L.PR.B;2019-03-02;307.35;310.15;284.2;333.3
L.PR.B;2019-02-28;911.01;949.18;871.23;988.96
DC.WT;2019-02-28;551.24;580.98;529.04;603.18
ARG;2019-02-28;458.69;462.03;436.81;483.92
BELL;2019-03-02;489.88;502.69;479.04;513.53
BELL;2019-03-01;41.41;75.2;-5.69;122.31
ARG;2019-03-04;435.27;452.52;394.87;492.93
DC.WT;2019-02-28;400.58;428.11;385.65;443.04
L.PR.B;2019-03-04;434.67;475.36;418.81;491.22
LYD;2019-02-28;868.12;876.75;841.25;903.62
GOOG;2019-03-04;31.94;36.84;30.59;38.19
GOOG;2019-03-03;901.89;912.07;900.26;913.69
GOOG;2019-03-02;565.32;608.72;520.19;653.85
GOOG;2019-03-02;133.41;138.31;105.08;166.64
BELL;2019-03-03;97.05;122.39;72.28;147.16
BELL;2019-02-28;312.59;350.9;275.38;388.12
DC.WT;2019-03-02;636.89;648.18;588.08;696.99
MSFT;2019-02-28;15.78;65.49;-18.95;100.21
RBC;2019-03-02;636.01;637.3;597.97;675.34
BELL;2019-03-04;5.59;22.41;-7.06;35.07
RBC;2019-03-01;521.38;555.26;512.17;564.46
ROG;2019-03-04;644.47;669.85;643.63;670.69
TSLA;2019-03-04;698.55;742.63;680.38;760.79
LYD;2019-03-04;256.42;278.39;237.4;297.42
MSFT;2019-02-28;68.3;114.52;28;154.82
ARG;2019-03-02;301.97;335.24;282.34;354.87
ARG;2019-03-01;417.35;454.99;373.73;498.61
BELL;2019-02-28;392.31;438.64;343.56;487.39
BELL;2019-02-28;986.6;1026.51;938.77;1074.34
TSLA;2019-03-04;812.52;823.68;809.49;826.7
LYD;2019-02-28;59.31;68.79;10.18;117.92
RBC;2019-03-03;372.57;416.8;328.78;460.59
RBC;2019-03-03;158.18;187.65;137.64;208.2
LYD;2019-03-01;95.11;117.35;86.02;126.44
GOOG;2019-03-01;855.6;868.08;823.47;900.21
GOOG;2019-02-28;963;978.9;925.01;1016.89
ROG;2019-03-03;38.94;77.73;-1.58;118.25
BELL;2019-03-02;898.33;919.85;856.05;962.13
ROG;2019-03-03;164.34;189.87;133.02;221.18
RBC;2019-03-01;18.62;52.11;-21.07;91.8
RBC;2019-02-28;631.03;637.95;590.31;678.67
RBC;2019-03-04;656.38;705.74;636.11;726
GOOG;2019-03-03;142.43;145.51;102.1;185.84
ARG;2019-03-02;290.21;305.13;284.23;311.1
GOOG;2019-03-02;740.99;782.24;726.34;796.89
BELL;2019-02-28;896.25;906.59;893.21;909.64
L.PR.B;2019-03-04;962.81;982.51;960.72;984.6
L.PR.B;2019-03-04;25.43;58.68;-15.92;100.04
BELL;2019-03-03;759.71;771.49;710.97;820.23
LYD;2019-03-02;749.87;753.7;740.43;763.13
RBC;2019-03-02;564.2;601.21;540.17;625.23
MSFT;2019-03-04;932.03;960.58;931.94;960.67
DC.WT;2019-03-02;960.48;975.62;933.39;1002.7
ROG;2019-03-04;577.97;586.79;539.1;625.66
L.PR.B;2019-03-01;166.1;192.54;153.72;204.92
GOOG;2019-03-04;506.54;515.51;485.66;536.39
MSFT;2019-03-03;698.07;710.62;666.69;742
BELL;2019-02-28;888.62;925.13;842.31;971.44
GOOG;2019-03-03;831.27;865.86;799.43;897.7
RBC;2019-03-03;730.42;764.22;699.42;795.22
BELL;2019-03-01;234.02;257.2;196.16;295.06
MSFT;2019-03-03;111.17;114.69;65.74;160.13
GOOG;2019-03-04;513.69;542.77;481.11;575.35
BELL;2019-03-02;905.36;939.31;893.22;951.45
BELL;2019-03-03;458.85;489.62;417.66;530.8
LYD;2019-03-04;687.11;720.92;674.68;733.35
LYD;2019-03-01;347.01;350.83;306.18;391.66
L.PR.B;2019-03-02;226.87;245.91;185.38;287.39
TSLA;2019-02-28;519.22;521.26;490.06;550.42
BELL;2019-03-03;913.41;916.2;875.37;954.24
TSLA;2019-02-28;805.78;845.85;775.8;875.83
DC.WT;2019-02-28;911.95;946.09;902.29;955.75
BELL;2019-03-04;630.82;664.28;587.84;707.26
L.PR.B;2019-03-01;27.05;59.16;-2.2;88.4
ARG;2019-03-03;41.47;71.06;18.03;94.51
BELL;2019-03-03;945.67;974.53;904.31;1015.89
TSLA;2019-03-03;106.5;116;82.01;140.5
DC.WT;2019-03-04;329.89;346.6;300.05;376.44
ARG;2019-03-04;555.08;588.06;511.13;632.02
MSFT;2019-03-02;589.89;620.81;541.08;669.62
TSLA;2019-03-02;446.12;452.11;409.53;488.71
BELL;2019-03-04;586.86;614.12;580.63;620.34
ROG;2019-02-28;90.72;117.37;65.37;142.71
ARG;2019-03-02;229.97;268.99;205.91;293.04
RBC;2019-03-03;687.03;703.59;677.14;713.48
DC.WT;2019-03-02;923.74;941.26;888.82;976.17
TSLA;2019-03-04;966.14;989.5;916.43;1039.21
L.PR.B;2019-02-28;368.22;370.72;353.77;385.17
RBC;2019-03-02;468.54;512.05;441.24;539.35
L.PR.B;2019-03-02;293.62;338.56;257.05;375.13
GOOG;2019-03-03;240.95;270.41;231.59;279.78
TSLA;2019-03-04;93.95;143.37;72.65;164.67
ROG;2019-03-03;777.29;792.87;754.88;815.28
ROG;2019-02-28;842.74;881.95;796.87;927.82
L.PR.B;2019-03-03;324.23;349.16;285.19;388.21
DC.WT;2019-02-28;225.32;273.27;220.04;278.55
ARG;2019-03-01;655.55;657.91;617.11;696.34
RBC;2019-03-04;140.91;183.55;101.11;223.34
L.PR.B;2019-03-04;428.29;466.27;417.77;476.8
BELL;2019-03-01;921.05;953.75;874.22;1000.57
DC.WT;2019-03-03;383.65;393.68;350.91;426.41
DC.WT;2019-03-02;245.22;248.19;238.74;254.68
ARG;2019-03-04;533.2;545.46;495.31;583.35
TSLA;2019-02-28;169.5;187.13;121.3;235.33
MSFT;2019-02-28;214.6;241.39;214.56;241.43
MSFT;2019-02-28;221.17;256.46;215.77;261.86
MSFT;2019-03-01;157.59;191.47;141.78;207.28
LYD;2019-03-04;90.33;117.23;66.86;140.7
RBC;2019-02-28;803.98;824.83;754.65;874.16
BELL;2019-03-01;24.7;62.95;-7.83;95.47
ARG;2019-03-02;755.32;773.44;750.66;778.1
ARG;2019-03-01;492.47;537.56;447.03;583
RBC;2019-02-28;152.83;197.73;119.28;231.28
DC.WT;2019-03-03;740.61;746.46;715.53;771.54
BELL;2019-03-01;406.59;437.87;391.71;452.74
TSLA;2019-03-02;960.23;974.7;956.76;978.16
ARG;2019-03-03;695.85;698.37;687.3;706.92
ROG;2019-03-03;131.47;144.04;111.83;163.69
ROG;2019-02-28;30.24;44.44;17.91;56.77
L.PR.B;2019-02-28;456.24;499.59;446.94;508.89
DC.WT;2019-03-02;901.98;937.57;873.64;965.91
LYD;2019-03-04;160.53;167.21;138.74;188.99
ROG;2019-03-01;415.34;459.53;366.55;508.32
GOOG;2019-03-02;21.18;58.65;-15.41;95.24
DC.WT;2019-03-03;977.17;1000.55;944.2;1033.52
TSLA;2019-03-04;135.36;177.52;107.66;205.22
TSLA;2019-03-01;84.93;108.84;41.06;152.72
TSLA;2019-03-03;917.03;932.56;888.5;961.09
ARG;2019-02-28;762.46;768.92;737.08;794.3
DC.WT;2019-03-02;265.74;295.81;216.25;345.29
RBC;2019-03-04;578.48;620.97;548.54;650.91
MSFT;2019-03-02;944.94;964.4;906.91;1002.43
TSLA;2019-03-03;481.49;502.7;474.37;509.82
LYD;2019-02-28;445.97;465.42;422.35;489.04
L.PR.B;2019-03-04;202.76;208.87;178.34;233.3
DC.WT;2019-03-01;720.59;755.41;716.66;759.33
DC.WT;2019-03-02;506.52;540.58;485.54;561.56
LYD;2019-03-01;649.89;674.84;623.02;701.7
DC.WT;2019-02-28;209.08;235.26;189.38;254.97
GOOG;2019-03-02;973.16;1012.2;956.47;1028.9
LYD;2019-03-03;125;130.03;121.52;133.5
RBC;2019-03-02;223.12;243.97;210.17;256.92
BELL;2019-03-02;906.95;929.64;903.38;933.21
ROG;2019-03-02;763.25;774.47;756.11;781.6
L.PR.B;2019-03-04;830.07;879.6;809.82;899.85
BELL;2019-02-28;12.33;12.59;-14.88;39.8
TSLA;2019-02-28;56.78;68.01;22.98;101.81
BELL;2019-02-28;911.71;923.13;890.48;944.36
MSFT;2019-03-03;313.62;343.38;309.81;347.19
BELL;2019-03-04;468.89;507.97;439.75;537.11
BELL;2019-03-03;837.93;845.82;802.32;881.43
DC.WT;2019-03-03;61.4;84.54;49.82;96.13
ROG;2019-03-03;940.43;983.92;906.69;1017.66
RBC;2019-03-04;650.73;658.84;601.86;707.71
BELL;2019-03-03;655.96;691.37;616.11;731.23
GOOG;2019-03-04;75.51;124;41.76;157.74
TSLA;2019-03-03;907.43;932.04;864.44;975.03
RBC;2019-03-03;986.41;1004.14;952.2;1038.35
RBC;2019-03-02;731.97;768.92;730.74;770.16
RBC;2019-03-02;228.88;270.44;222.37;276.95
MSFT;2019-03-02;382.36;402.58;338.4;446.54
LYD;2019-03-04;913.83;946.36;873.9;986.3
MSFT;2019-03-04;12.33;35.92;3.69;44.56
TSLA;2019-03-04;919.96;940.41;873.93;986.44
DC.WT;2019-02-28;393.25;442.58;371.43;464.4
DC.WT;2019-03-03;548.12;582.28;530.98;599.43
LYD;2019-02-28;789.33;838.17;768.84;858.66
RBC;2019-02-28;590.38;635.42;553.3;672.5
LYD;2019-03-04;245.93;246.89;243.78;249.04
RBC;2019-02-28;956.65;983.62;951.21;989.06
ARG;2019-03-01;808.52;855.38;760.89;903.02
LYD;2019-03-01;328.23;349.19;306.01;371.41
ARG;2019-03-03;903.29;916.25;882.71;936.84
RBC;2019-03-04;300.51;323.6;262.94;361.18
DC.WT;2019-03-01;107.2;119.63;63.77;163.06
L.PR.B;2019-02-28;117.67;130.26;94.54;153.38
GOOG;2019-02-28;834.7;872.28;812.13;894.85
ARG;2019-03-02;885.38;892.19;865.37;912.2
DC.WT;2019-02-28;3.11;37.36;-33.93;74.39
MSFT;2019-03-03;502.39;549.62;499.24;552.77
TSLA;2019-03-01;620.23;635.84;609.17;646.9
DC.WT;2019-03-04;195.29;242.38;173.96;263.71
ARG;2019-03-04;648.36;671.5;599.99;719.86
DC.WT;2019-03-04;489.57;510.02;455.46;544.14
L.PR.B;2019-03-03;404.61;431.2;367.43;468.37
LYD;2019-03-03;906.09;936.35;899.43;943
LYD;2019-03-04;574.5;622.11;563.82;632.79
GOOG;2019-03-03;291.4;302.77;255.8;338.38
L.PR.B;2019-03-01;602.2;618.5;599.54;621.17
ROG;2019-03-01;887.38;918.78;838.19;967.97
ROG;2019-03-01;947.2;988.49;933.93;1001.76
L.PR.B;2019-03-02;669.37;692.6;661.87;700.1
TSLA;2019-03-03;874.71;902.27;874.67;902.3
MSFT;2019-03-03;356.14;404.97;355.28;405.83
ARG;2019-03-02;902.69;924.31;895.5;931.51
LYD;2019-03-03;435.79;475.15;397.91;513.03
MSFT;2019-03-02;87.52;108.04;77.42;118.15
BELL;2019-02-28;630.09;658.43;625;663.52
L.PR.B;2019-03-01;354.78;390.42;353.23;391.97
L.PR.B;2019-03-03;890.73;906.11;875.42;921.42
BELL;2019-02-28;297.3;308.96;277.64;328.62
ROG;2019-02-28;990.3;1023.22;960.12;1053.4
ARG;2019-03-03;795.94;837.07;791.23;841.77
ROG;2019-03-04;530.26;544.11;503.33;571.04
ARG;2019-03-01;179.34;198.37;176.66;201.04
ARG;2019-03-04;316.61;365.05;306.37;375.28
LYD;2019-03-04;851.31;875.63;818.58;908.37
ARG;2019-03-03;292.97;311.67;280.21;324.43
GOOG;2019-03-01;558.37;571.99;522.98;607.38
BELL;2019-03-02;933.05;945.33;917.56;960.82
TSLA;2019-03-02;772.07;784.42;761.8;794.7
MSFT;2019-03-02;397.11;429.02;372.27;453.86
TSLA;2019-03-04;50.59;84.6;12.45;122.74
ROG;2019-03-03;995.81;1004.94;967.57;1033.18
BELL;2019-03-03;924.77;956.8;884.18;997.39
L.PR.B;2019-02-28;538.88;555.1;495.26;598.73
L.PR.B;2019-03-02;967.62;995.2;951.32;1011.5
TSLA;2019-03-04;214.97;229.26;203.22;241.01
